image,width,height,qp,baseline_bitstream_bytes,csf_off_bitstream_bytes,bitstream_identical,reconstruction_identical,baseline_bitstream_md5,csf_off_bitstream_md5,baseline_recon_md5,csf_off_recon_md5
baboon,512,512,22,99281,99281,True,True,4d5755cfafb48435f538adb36f7b8ae3,4d5755cfafb48435f538adb36f7b8ae3,7bb4e9a565774b391c456f3d93f79e66,7bb4e9a565774b391c456f3d93f79e66
baboon,512,512,27,71110,71110,True,True,dfe14a3619959c32f50d470edd439a01,dfe14a3619959c32f50d470edd439a01,eb5913ab23d7b8e47552a52e6a06f331,eb5913ab23d7b8e47552a52e6a06f331
baboon,512,512,32,44729,44729,True,True,2a288d0d1046c6bb44bdf4bc93abd71e,2a288d0d1046c6bb44bdf4bc93abd71e,f52617cb89bc63e33878a019dc9bd20d,f52617cb89bc63e33878a019dc9bd20d
baboon,512,512,37,24307,24307,True,True,958e4867b22804e1c9038b40bcc62c52,958e4867b22804e1c9038b40bcc62c52,95c93364ced58877a1e5bade910eccb8,95c93364ced58877a1e5bade910eccb8
barbara,512,512,22,43875,43875,True,True,7f5232b3a94b80f996db0352f346b032,7f5232b3a94b80f996db0352f346b032,f05f6e52c52ee29012eca9c4b0bd5ff2,f05f6e52c52ee29012eca9c4b0bd5ff2
barbara,512,512,27,26515,26515,True,True,9daed837cd267895b91cbfdcdf73330f,9daed837cd267895b91cbfdcdf73330f,c7e9fe9d5d6309a2c38b74ac8f398353,c7e9fe9d5d6309a2c38b74ac8f398353
barbara,512,512,32,16409,16409,True,True,5ba50f7a2e053d4af0ac61273412c342,5ba50f7a2e053d4af0ac61273412c342,ef877cbc1ddba076648c84e640242de2,ef877cbc1ddba076648c84e640242de2
barbara,512,512,37,9664,9664,True,True,977cf6d6a2a591617e015a71306054ce,977cf6d6a2a591617e015a71306054ce,c7d98bd11b13f5b9dc6647a6b5bb340c,c7d98bd11b13f5b9dc6647a6b5bb340c
goldhill,512,512,22,57189,57189,True,True,e3d326b2fe7aeb12d4fcc83ba8fa21f5,e3d326b2fe7aeb12d4fcc83ba8fa21f5,bfe20100d34b92542199dc5a4ecd2b99,bfe20100d34b92542199dc5a4ecd2b99
goldhill,512,512,27,32124,32124,True,True,6a923d9cb8e0e472a525f57219b6bd7d,6a923d9cb8e0e472a525f57219b6bd7d,8ef131f51d77600e955a5519b2fc8bc7,8ef131f51d77600e955a5519b2fc8bc7
goldhill,512,512,32,15921,15921,True,True,98d86db50ab7bc01ebbcb5431ab87357,98d86db50ab7bc01ebbcb5431ab87357,e5175c3e00a86aead26c43df7cf1d289,e5175c3e00a86aead26c43df7cf1d289
goldhill,512,512,37,7598,7598,True,True,bd8dd6592856f6481e47032c57f1b2a6,bd8dd6592856f6481e47032c57f1b2a6,2eaf0bdf7dda1f59f8f69631f8550936,2eaf0bdf7dda1f59f8f69631f8550936
lenna,512,512,22,37586,37586,True,True,655a4f0d1ddd1374086f2fcd4c8e042c,655a4f0d1ddd1374086f2fcd4c8e042c,51ec416fdcc81935fecdbd98ace9e52a,51ec416fdcc81935fecdbd98ace9e52a
lenna,512,512,27,17126,17126,True,True,4d9858eb2cd19e3fd3abec48b0df66d2,4d9858eb2cd19e3fd3abec48b0df66d2,1bf492be80002c567a78509354cdda24,1bf492be80002c567a78509354cdda24
lenna,512,512,32,9046,9046,True,True,a92a9d720f55e139a3efec00d1bf318d,a92a9d720f55e139a3efec00d1bf318d,a1439106fac70b3e9c17e8b296f76b27,a1439106fac70b3e9c17e8b296f76b27
lenna,512,512,37,4953,4953,True,True,3d9c30b95ad7a39d813f4a62add20bef,3d9c30b95ad7a39d813f4a62add20bef,1f9340a10fc102cc8c417d87c7c3301d,1f9340a10fc102cc8c417d87c7c3301d
peppers,512,512,22,49494,49494,True,True,480e9c4bfc4c1a28711f13499bb5410b,480e9c4bfc4c1a28711f13499bb5410b,dc63526814b99846d85dfce64004cf21,dc63526814b99846d85dfce64004cf21
peppers,512,512,27,21724,21724,True,True,ec11002a3a354500d91ce2a4e4a8cbf2,ec11002a3a354500d91ce2a4e4a8cbf2,0fee57aace23c945db085d336cfadb40,0fee57aace23c945db085d336cfadb40
peppers,512,512,32,8307,8307,True,True,7aa3dd5b53d9c62948c1f6497afcf91f,7aa3dd5b53d9c62948c1f6497afcf91f,c2ddfbf445393041dbd11ecfb312fd61,c2ddfbf445393041dbd11ecfb312fd61
peppers,512,512,37,4649,4649,True,True,8f48df4cf1a1bfda6bc67e8b2c7e823e,8f48df4cf1a1bfda6bc67e8b2c7e823e,28dab3518b4d93b06df524f5781ffe18,28dab3518b4d93b06df524f5781ffe18
