image,mode,width,height,cu_count,min_area,max_area,avg_area,dominant_sizes
baboon,baseline,512,512,2575,16,1024,101.80349514563108,8x8:543; 4x4:392; 8x4:298; 4x8:248; 16x4:230; 16x8:216
baboon,csf,512,512,9956,16,1024,26.33025311370028,4x4:7900; 8x4:923; 4x8:345; 8x8:315; 16x16:131; 8x16:91
barbara,baseline,512,512,1716,16,4096,152.76456876456876,8x8:380; 16x16:209; 8x16:205; 4x16:181; 4x8:171; 4x4:112
barbara,csf,512,512,2870,16,4096,91.33937282229965,4x4:698; 4x8:618; 8x8:395; 4x16:294; 16x16:206; 8x16:188
goldhill,baseline,512,512,2864,16,1024,91.53072625698324,8x8:614; 4x4:434; 4x8:350; 8x4:323; 4x16:204; 16x4:197
goldhill,csf,512,512,3569,16,1024,73.45026618100309,4x4:1048; 8x8:555; 4x8:472; 8x4:456; 16x4:220; 4x16:197
lenna,baseline,512,512,1777,16,4096,147.5205402363534,8x8:378; 16x16:239; 4x8:197; 4x4:188; 8x16:176; 4x16:138
lenna,csf,512,512,2276,16,4096,115.1775043936731,4x4:518; 8x8:375; 4x8:323; 16x16:236; 4x16:196; 8x16:177
peppers,baseline,512,512,2286,16,4096,114.67366579177603,8x8:551; 16x16:260; 4x4:258; 8x16:222; 8x4:213; 4x8:186
peppers,csf,512,512,2556,16,4096,102.56025039123631,4x4:508; 8x8:479; 4x8:267; 8x4:261; 16x16:246; 8x16:230
