dataset,image,width,height,qp,mode,bitstream_bytes,compression_ratio,bpp,bitrate_kbps,psnr_y,psnr_u,psnr_v,ssim,xpsnr_y,vmaf,msssim_luma,fsim_luma,haarpsi_luma,psnr_hvs_m_luma,psnr_rgb,msssim_rgb
standard_grayscale,baboon,512,512,22,scalinglist_default,92859,8.469098310341485,2.833831787109375,92.859,41.8027,999.99,999.99,0.996808,47.3604,95.877042,0.9985621238248695,0.9957051827715714,0.9889299803352961,49.61385662466323,41.21565469442197,0.9985593551207209
standard_grayscale,baboon,512,512,27,scalinglist_default,64550,12.183299767621998,1.96990966796875,64.55,36.8709,999.99,999.99,0.990009,42.5217,93.62629,0.9952153980030213,0.9857184435604263,0.9669432476538038,44.498583080596234,36.67000492738908,0.9953003668669148
standard_grayscale,baboon,512,512,32,scalinglist_default,39211,20.05641274132259,1.196624755859375,39.211,32.273,999.99,999.99,0.97506,38.0169,88.896403,0.9858974082808516,0.9592849745616676,0.90846998158846,37.6982526491165,32.203957485179664,0.9864100356435723
standard_grayscale,baboon,512,512,37,scalinglist_default,20663,38.05991385568407,0.630584716796875,20.663,28.3356,999.99,999.99,0.950888,34.2084,78.564447,0.9662851626550838,0.9073131618606243,0.8009205738136209,31.43753605506593,28.306195566183312,0.9667473107082465
standard_grayscale,goldhill,512,512,22,scalinglist_default,49997,15.729583775026502,1.525787353515625,49.997,41.7635,999.99,999.99,0.993242,45.4801,95.706883,0.9973571898758954,0.9873177562387699,0.984192953273819,48.183070943586344,41.22206720342153,0.9973099922967599
standard_grayscale,goldhill,512,512,27,scalinglist_default,26860,29.2789277736411,0.8197021484375,26.86,37.4538,999.99,999.99,0.983639,41.2467,93.450619,0.9925167374286258,0.9638363589537492,0.9564049670968027,42.538478617140754,37.24644926049192,0.992639830691998
standard_grayscale,goldhill,512,512,32,scalinglist_default,13142,59.841120073048245,0.40106201171875,13.142,34.1129,999.99,999.99,0.967756,37.9734,88.765393,0.9815721878747135,0.9203905945479569,0.8955744603851808,36.34419555394437,34.01495777476599,0.9820358292080344
standard_grayscale,goldhill,512,512,37,scalinglist_default,6092,129.0925804333552,0.1859130859375,6.092,31.3488,999.99,999.99,0.944289,35.2833,79.24006,0.9604683222535798,0.8542261307362315,0.7915491969419775,30.994470341181906,31.29597686900146,0.9606855207847311
standard_grayscale,peppers,512,512,22,scalinglist_default,38866,20.2344465599753,1.18609619140625,38.866,41.2843,999.99,89.3059,0.988495,45.0843,96.211909,0.995533494629908,0.9812023345712512,0.984003329348169,46.02439022005561,40.75488607516752,0.995738046225711
standard_grayscale,peppers,512,512,27,scalinglist_default,15005,52.411329556814394,0.457916259765625,15.005,37.0292,999.99,89.3059,0.972188,40.8543,94.577868,0.9882012752413206,0.9440648897870738,0.9557882885456378,40.55083432687379,36.81883488077875,0.9885789318644819
standard_grayscale,peppers,512,512,32,scalinglist_default,6623,118.74256379284313,0.202117919921875,6.623,34.8814,999.99,89.3059,0.960525,38.8043,90.774588,0.9804276318727148,0.9129232791525475,0.9121443166411001,36.50006822300973,34.741537836364444,0.9810408981569939
standard_grayscale,peppers,512,512,37,scalinglist_default,3816,206.08805031446542,0.116455078125,3.816,33.2393,999.99,89.3059,0.9529,37.2533,83.555101,0.9720019501150077,0.8884466278772112,0.8567605487496629,33.00962249227041,33.15082381871939,0.9725082847156513
